fill_level,primary_resonance_hz,primary_resonance_amplitude_m,reference_mode_hz
0.14m,22,0.0005367760713586,28
0.16m,20,0.0002956240696825,28
0.18m,20,0.0001549846591356,28
0.20m,18,0.000253358592534,28
